length(m) == 0
nref(m)   == 0
1 2 1
2 4 2
3 6 3
4 8 4
5 10 5
6 12 6
7 14 7
8 16 8
9 18 9
10 20 10
11 22 11
12 24 12
13 26 13
14 28 14
15 30 15
100 134 100
200 202 200
300 402 300
400 602 400
500 802 500
600 1002 600
700 1202 700
800 1402 800
900 1602 900
1000 1802 1000
1100 2002 1100
1200 2202 1200
1300 2402 1300
1400 2602 1400
1500 2802 1500
1600 3002 1600
1700 3202 1700
1800 3402 1800
1900 3602 1900
2000 3802 2000
2100 4002 2100
2200 4202 2200
2300 4402 2300
2400 4602 2400
2500 4802 2500
2600 5002 2600
2700 5202 2700
2800 5402 2800
2900 5602 2900
3000 5802 3000
3100 6002 3100
3200 6202 3200
3300 6402 3300
3400 6602 3400
3500 6802 3500
3600 7002 3600
3700 7202 3700
3800 7402 3800
3900 7602 3900
4000 7802 4000
4100 8002 4100
4200 8202 4200
4300 8402 4300
4400 8602 4400
4500 8802 4500
4600 9002 4600
4700 9202 4700
4800 9402 4800
4900 9602 4900
5000 9802 5000
5100 10002 5100
5200 10202 5200
5300 10402 5300
5400 10602 5400
5500 10802 5500
5600 11002 5600
5700 11202 5700
5800 11402 5800
5900 11602 5900
6000 11802 6000
6100 12002 6100
6200 12202 6200
6300 12402 6300
6400 12602 6400
6500 12802 6500
6600 13002 6600
6700 13202 6700
6800 13402 6800
6900 13602 6900
7000 13802 7000
7100 14002 7100
7200 14202 7200
7300 14402 7300
7400 14602 7400
7500 14802 7500
7600 15002 7600
7700 15202 7700
7800 15402 7800
7900 15602 7900
8000 15802 8000
8100 16002 8100
8200 16202 8200
8300 16402 8300
8400 16602 8400
8500 16802 8500
8600 17002 8600
8700 17202 8700
8800 17402 8800
8900 17602 8900
9000 17802 9000
9100 18002 9100
9200 18202 9200
9300 18402 9300
9400 18602 9400
9500 18802 9500
9600 19002 9600
9700 19202 9700
9800 19402 9800
9900 19602 9900
10000 19802 10000
